corr_paths,null_corr,pval_paths,null_pval,rank_paths,null_ranks,bay_paths,null_bay,mark_paths,null_mark,diff_paths
5.111944345,1.924279286,3.427161403,3.398981067,2.472756449,1.301029996,0.477121255,1.301029996,3.870228279,1.944482672,3.426185825
2.924795996,3.528788192,2.357934847,3.401400541,0,4.144293927,2.660865478,2.798650645,4.102159183,3.650210355,0
5.111944345,2.445604203,3.29710365,0,3.308350949,3.023663918,4.989498762,2.421603927,2.411619706,0.477121255,4.512030328
0.477121255,2.894869657,2.622214023,1.361727836,4.034387784,3.195622944,3.460446784,3.769598848,5.112273122,2.667452953,2.617000341
3.460446784,4.64936407,2.161368002,2.603144373,2.342422681,2.667452953,4.191171456,2.831869774,2.269512944,2.831869774,4.227423896
3.439016728,0,4.261143868,4.099577061,3.026941628,4.685965544,4.014058277,5.145149772,3.057285644,3.343999069,2.852479994
4.151032582,4.121986379,4.648018297,3.835373452,3.86711378,3.537441283,3.875582104,0,2.117271296,3.465234095,3.031408464
3.964212473,2.354108439,3.617419747,4.748784772,2.890979597,0.84509804,2.278753601,3.632356046,4.724652641,3.593507589,1
1.176091259,0,2.667452953,3.023663918,3.904336792,1.079181246,3.063708559,0,2.922725458,2.472756449,1.934498451
2.559906625,0.954242509,4.64936407,2.751279104,3.710032699,2.519827994,4.485920078,1.799340549,3.165244326,2.008600172,3.340245762
